date_rdv,canal,profil,motif,sous_motif,date_creation,id_conseiller,bureau,mois,annee_mois,nb_rdv
2025-12-29,telephone,Senior,Vente,Demande,2025-12-01,11,Bordeaux,December,2025-12,1
2025-06-29,telephone,Junior,Support,Réclamation,2025-06-09,4,Lyon,June,2025-06,1
2025-11-21,telephone,Client,Comptabilité,Réclamation,2025-11-18,11,Marseille,November,2025-11,3
2024-06-13,telephone,Junior,Comptabilité,Réclamation,2024-06-04,13,Bordeaux,June,2024-06,1
2024-05-27,web,Junior,Vente,Réclamation,2024-05-13,13,Lyon,May,2024-05,2
2025-09-10,web,Senior,Vente,Demande,2025-08-23,1,Marseille,September,2025-09,3
2024-07-05,web,Senior,Support,Question,2024-06-13,19,Paris,July,2024-07,3
2025-10-05,telephone,Manager,Comptabilité,Demande,2025-09-12,10,Marseille,October,2025-10,1
2025-12-06,web,Senior,Vente,Question,2025-12-03,16,Paris,December,2025-12,3
2024-12-26,telephone,Senior,Support,Demande,2024-12-17,17,Marseille,December,2024-12,2
2025-03-02,telephone,Manager,Support,Réclamation,2025-02-13,2,Paris,March,2025-03,1
2025-04-10,web,Client,Support,Réclamation,2025-03-23,13,Lyon,April,2025-04,2
2025-09-15,web,Client,Support,Réclamation,2025-09-10,19,Bordeaux,September,2025-09,1
2024-09-13,telephone,Senior,Comptabilité,Question,2024-08-21,7,Marseille,September,2024-09,3
2025-04-05,telephone,Junior,Vente,Question,2025-03-14,13,Lyon,April,2025-04,1
2024-11-02,telephone,Junior,Comptabilité,Question,2024-10-13,11,Paris,November,2024-11,3
2024-07-05,web,Client,Support,Demande,2024-06-29,6,Bordeaux,July,2024-07,2
2024-12-18,web,Senior,Comptabilité,Réclamation,2024-12-11,20,Lyon,December,2024-12,3
2025-08-04,telephone,Manager,Support,Question,2025-07-13,4,Paris,August,2025-08,1
2024-01-24,telephone,Client,Vente,Question,2023-12-26,5,Lyon,January,2024-01,2
2024-10-08,telephone,Junior,Vente,Demande,2024-09-12,19,Bordeaux,October,2024-10,2
2025-10-14,telephone,Client,Comptabilité,Réclamation,2025-10-07,12,Bordeaux,October,2025-10,3
2024-04-08,telephone,Manager,Comptabilité,Demande,2024-03-27,7,Marseille,April,2024-04,1
2024-05-19,telephone,Client,Support,Réclamation,2024-04-26,4,Bordeaux,May,2024-05,3
2025-03-04,web,Senior,Support,Réclamation,2025-03-02,12,Bordeaux,March,2025-03,1
2025-10-31,telephone,Client,Vente,Demande,2025-10-01,19,Marseille,October,2025-10,1
2024-07-27,telephone,Senior,Comptabilité,Réclamation,2024-07-10,18,Bordeaux,July,2024-07,2
2025-08-09,web,Junior,Vente,Réclamation,2025-08-08,18,Bordeaux,August,2025-08,2
2024-09-15,telephone,Junior,Vente,Question,2024-09-11,4,Lyon,September,2024-09,3
2024-07-01,web,Senior,Support,Question,2024-06-04,10,Lyon,July,2024-07,3
2025-04-25,telephone,Senior,Vente,Question,2025-03-28,16,Marseille,April,2025-04,2
2025-12-19,telephone,Senior,Support,Question,2025-11-28,1,Lyon,December,2025-12,3
2025-10-06,telephone,Senior,Comptabilité,Réclamation,2025-10-01,17,Bordeaux,October,2025-10,3
2024-08-02,web,Client,Support,Question,2024-07-30,3,Paris,August,2024-08,2
2024-03-11,telephone,Junior,Comptabilité,Réclamation,2024-02-16,6,Marseille,March,2024-03,3
2025-03-10,web,Junior,Comptabilité,Question,2025-03-08,18,Lyon,March,2025-03,2
2024-06-18,web,Client,Comptabilité,Réclamation,2024-06-04,16,Bordeaux,June,2024-06,3
2024-10-09,telephone,Junior,Support,Question,2024-09-25,18,Marseille,October,2024-10,2
2024-01-04,web,Senior,Comptabilité,Réclamation,2023-12-23,5,Paris,January,2024-01,3
2025-05-15,telephone,Senior,Comptabilité,Réclamation,2025-04-27,10,Lyon,May,2025-05,3
2025-06-21,telephone,Junior,Comptabilité,Réclamation,2025-06-06,11,Paris,June,2025-06,2
2025-07-29,telephone,Junior,Support,Réclamation,2025-07-23,2,Marseille,July,2025-07,2
2024-10-15,web,Manager,Vente,Question,2024-10-04,16,Bordeaux,October,2024-10,2
2025-10-02,telephone,Manager,Comptabilité,Question,2025-10-02,12,Paris,October,2025-10,1
2025-03-03,web,Senior,Support,Question,2025-02-27,9,Bordeaux,March,2025-03,2
2025-12-13,telephone,Client,Comptabilité,Question,2025-11-18,7,Paris,December,2025-12,3
2024-02-26,web,Client,Vente,Question,2024-01-28,14,Paris,February,2024-02,2
2025-04-21,telephone,Client,Comptabilité,Réclamation,2025-03-23,3,Bordeaux,April,2025-04,3
2024-04-28,telephone,Client,Support,Question,2024-04-10,12,Paris,April,2024-04,1
2024-10-24,web,Senior,Support,Réclamation,2024-10-01,3,Lyon,October,2024-10,3
2024-11-17,telephone,Senior,Vente,Demande,2024-10-30,6,Paris,November,2024-11,2
2024-05-25,web,Senior,Vente,Demande,2024-05-08,4,Lyon,May,2024-05,3
2025-12-19,web,Manager,Vente,Demande,2025-12-14,9,Lyon,December,2025-12,2
2024-12-24,web,Manager,Comptabilité,Demande,2024-12-13,1,Paris,December,2024-12,1
2024-08-08,web,Senior,Vente,Demande,2024-07-25,16,Marseille,August,2024-08,1
2025-06-26,telephone,Junior,Comptabilité,Demande,2025-06-07,7,Bordeaux,June,2025-06,1
2025-03-15,telephone,Senior,Support,Réclamation,2025-02-17,10,Lyon,March,2025-03,1
2025-07-27,telephone,Senior,Support,Réclamation,2025-07-13,16,Paris,July,2025-07,2
2025-07-05,web,Junior,Support,Réclamation,2025-07-02,1,Marseille,July,2025-07,1
2025-08-19,telephone,Junior,Support,Réclamation,2025-08-04,11,Marseille,August,2025-08,1
2024-05-26,telephone,Senior,Vente,Réclamation,2024-05-18,20,Paris,May,2024-05,3
2024-03-15,telephone,Manager,Comptabilité,Demande,2024-02-25,6,Bordeaux,March,2024-03,2
2024-10-22,telephone,Client,Comptabilité,Demande,2024-10-16,18,Marseille,October,2024-10,1
2025-06-11,telephone,Junior,Comptabilité,Réclamation,2025-06-11,19,Lyon,June,2025-06,3
2024-07-25,web,Junior,Support,Question,2024-07-07,5,Lyon,July,2024-07,2
2025-05-27,telephone,Junior,Support,Demande,2025-05-03,5,Marseille,May,2025-05,1
2024-07-04,web,Junior,Vente,Question,2024-06-27,8,Lyon,July,2024-07,3
2024-02-29,telephone,Senior,Comptabilité,Réclamation,2024-02-06,14,Lyon,February,2024-02,3
2024-04-04,web,Client,Support,Question,2024-03-29,11,Paris,April,2024-04,3
2024-03-14,web,Client,Comptabilité,Demande,2024-02-19,3,Paris,March,2024-03,2
2024-08-10,web,Manager,Comptabilité,Question,2024-08-01,1,Lyon,August,2024-08,1
2024-12-25,web,Client,Vente,Réclamation,2024-12-20,9,Bordeaux,December,2024-12,1
2025-08-27,web,Manager,Vente,Réclamation,2025-08-11,18,Lyon,August,2025-08,3
2025-12-26,web,Client,Vente,Demande,2025-12-25,4,Lyon,December,2025-12,3
2024-04-15,web,Senior,Support,Question,2024-03-17,3,Lyon,April,2024-04,1
2024-11-09,telephone,Junior,Vente,Réclamation,2024-10-16,5,Marseille,November,2024-11,1
2024-07-17,web,Manager,Support,Question,2024-07-08,5,Lyon,July,2024-07,3
2025-08-22,telephone,Senior,Support,Réclamation,2025-07-25,9,Marseille,August,2025-08,1
2024-06-10,web,Manager,Vente,Réclamation,2024-05-22,12,Bordeaux,June,2024-06,1
2024-09-14,telephone,Client,Vente,Réclamation,2024-09-14,12,Marseille,September,2024-09,2
2025-12-14,telephone,Junior,Vente,Réclamation,2025-12-07,16,Lyon,December,2025-12,1
2024-11-18,web,Senior,Support,Demande,2024-11-15,3,Paris,November,2024-11,2
2024-03-24,telephone,Senior,Comptabilité,Réclamation,2024-02-24,7,Bordeaux,March,2024-03,3
2025-02-23,web,Manager,Support,Réclamation,2025-02-18,15,Paris,February,2025-02,3
2025-10-02,telephone,Junior,Comptabilité,Réclamation,2025-09-08,10,Marseille,October,2025-10,1
2024-10-21,telephone,Senior,Support,Demande,2024-09-29,2,Lyon,October,2024-10,3
2025-03-31,telephone,Client,Comptabilité,Réclamation,2025-03-27,20,Marseille,March,2025-03,3
2024-06-21,web,Client,Support,Question,2024-05-22,6,Lyon,June,2024-06,3
2025-06-01,telephone,Senior,Comptabilité,Demande,2025-05-21,6,Lyon,June,2025-06,1
2025-05-30,telephone,Manager,Vente,Question,2025-04-30,19,Marseille,May,2025-05,3
2024-08-19,telephone,Manager,Comptabilité,Demande,2024-08-04,10,Paris,August,2024-08,2
2024-04-09,telephone,Junior,Vente,Demande,2024-03-20,14,Paris,April,2024-04,2
2024-07-22,web,Junior,Support,Demande,2024-07-08,15,Lyon,July,2024-07,1
2025-04-09,web,Manager,Support,Question,2025-04-06,17,Paris,April,2025-04,3
2025-12-31,telephone,Client,Vente,Question,2025-12-25,13,Paris,December,2025-12,2
2024-05-17,web,Client,Support,Réclamation,2024-04-27,7,Marseille,May,2024-05,3
2025-07-02,web,Client,Support,Question,2025-06-19,19,Paris,July,2025-07,1
2025-08-22,telephone,Manager,Comptabilité,Question,2025-08-03,16,Lyon,August,2025-08,1
2024-07-15,telephone,Client,Vente,Demande,2024-07-13,16,Marseille,July,2024-07,3
2025-03-24,web,Manager,Comptabilité,Demande,2025-02-25,20,Bordeaux,March,2025-03,1
2025-08-24,web,Manager,Vente,Réclamation,2025-07-29,8,Bordeaux,August,2025-08,1
2025-05-15,web,Client,Vente,Demande,2025-05-12,13,Paris,May,2025-05,1
2024-01-25,web,Manager,Vente,Demande,2024-01-10,19,Lyon,January,2024-01,3
2025-12-17,telephone,Junior,Support,Demande,2025-12-04,13,Lyon,December,2025-12,3
2024-04-07,telephone,Client,Comptabilité,Demande,2024-03-26,12,Marseille,April,2024-04,3
2024-08-10,telephone,Junior,Vente,Demande,2024-07-24,2,Paris,August,2024-08,3
2024-03-31,web,Junior,Comptabilité,Réclamation,2024-03-10,14,Lyon,March,2024-03,1
2025-02-23,telephone,Senior,Support,Demande,2025-02-03,18,Paris,February,2025-02,3
2025-05-11,web,Manager,Vente,Question,2025-04-24,8,Bordeaux,May,2025-05,3
2024-02-17,web,Client,Vente,Question,2024-02-04,1,Bordeaux,February,2024-02,1
2025-04-06,telephone,Client,Support,Réclamation,2025-03-25,3,Bordeaux,April,2025-04,1
2025-03-13,telephone,Manager,Comptabilité,Question,2025-02-11,4,Paris,March,2025-03,2
2024-02-14,web,Manager,Vente,Réclamation,2024-01-17,20,Paris,February,2024-02,3
2025-11-07,web,Client,Comptabilité,Réclamation,2025-10-26,20,Paris,November,2025-11,3
2025-05-27,web,Junior,Vente,Question,2025-05-02,2,Lyon,May,2025-05,2
2024-03-14,telephone,Junior,Comptabilité,Demande,2024-02-15,18,Bordeaux,March,2024-03,3
2025-02-20,web,Senior,Comptabilité,Question,2025-02-14,4,Lyon,February,2025-02,3
2025-04-12,web,Manager,Comptabilité,Question,2025-04-12,6,Lyon,April,2025-04,2
2024-03-11,web,Junior,Vente,Question,2024-02-17,3,Lyon,March,2024-03,1
2024-06-26,web,Manager,Support,Question,2024-06-14,15,Marseille,June,2024-06,2
2024-06-19,web,Manager,Support,Demande,2024-06-10,19,Paris,June,2024-06,2
2024-07-13,web,Manager,Support,Demande,2024-06-18,7,Lyon,July,2024-07,2
2025-05-07,telephone,Junior,Support,Demande,2025-04-16,2,Lyon,May,2025-05,2
2025-09-20,web,Manager,Support,Réclamation,2025-08-26,10,Paris,September,2025-09,3
2024-07-24,web,Client,Support,Question,2024-07-22,18,Lyon,July,2024-07,2
2024-10-18,telephone,Junior,Comptabilité,Question,2024-09-22,18,Bordeaux,October,2024-10,3
2024-03-30,web,Junior,Vente,Réclamation,2024-03-18,20,Lyon,March,2024-03,3
2025-05-10,telephone,Senior,Comptabilité,Réclamation,2025-04-23,16,Bordeaux,May,2025-05,2
2025-10-16,telephone,Client,Vente,Question,2025-09-18,7,Paris,October,2025-10,1
2024-08-02,web,Client,Comptabilité,Réclamation,2024-07-12,8,Bordeaux,August,2024-08,3
2024-06-15,web,Manager,Vente,Question,2024-06-11,15,Lyon,June,2024-06,1
2024-11-14,web,Client,Comptabilité,Question,2024-10-15,3,Paris,November,2024-11,1
2024-09-11,web,Senior,Support,Demande,2024-08-26,18,Marseille,September,2024-09,2
2024-06-10,web,Senior,Support,Demande,2024-05-31,7,Marseille,June,2024-06,1
2024-12-01,web,Client,Comptabilité,Question,2024-11-12,18,Bordeaux,December,2024-12,3
2025-01-03,telephone,Client,Comptabilité,Question,2024-12-26,16,Bordeaux,January,2025-01,1
2024-11-06,web,Manager,Vente,Demande,2024-10-21,14,Paris,November,2024-11,1
2025-04-09,web,Client,Comptabilité,Réclamation,2025-03-20,6,Marseille,April,2025-04,2
2024-09-21,web,Client,Comptabilité,Question,2024-08-24,18,Bordeaux,September,2024-09,2
2025-06-10,telephone,Senior,Support,Question,2025-06-08,9,Marseille,June,2025-06,1
2024-10-05,web,Junior,Comptabilité,Demande,2024-09-08,4,Bordeaux,October,2024-10,2
2024-02-15,telephone,Manager,Vente,Question,2024-01-24,3,Bordeaux,February,2024-02,2
2025-10-30,telephone,Junior,Vente,Réclamation,2025-10-08,2,Lyon,October,2025-10,3
2024-01-16,web,Client,Vente,Demande,2024-01-14,17,Paris,January,2024-01,2
2025-11-23,telephone,Manager,Support,Réclamation,2025-11-06,6,Paris,November,2025-11,1
2025-01-18,web,Client,Comptabilité,Question,2025-01-05,11,Marseille,January,2025-01,3
2025-06-18,telephone,Senior,Vente,Demande,2025-06-12,9,Marseille,June,2025-06,1
2025-03-10,telephone,Junior,Comptabilité,Question,2025-02-24,11,Marseille,March,2025-03,2
2024-10-08,web,Senior,Comptabilité,Question,2024-09-08,10,Bordeaux,October,2024-10,2
2025-12-30,web,Manager,Support,Réclamation,2025-12-07,13,Marseille,December,2025-12,2
2025-02-04,telephone,Manager,Vente,Réclamation,2025-01-26,7,Lyon,February,2025-02,1
2024-10-01,telephone,Manager,Vente,Réclamation,2024-09-02,20,Marseille,October,2024-10,3
2024-06-22,web,Senior,Support,Demande,2024-06-18,13,Marseille,June,2024-06,3
2025-08-06,telephone,Manager,Comptabilité,Réclamation,2025-07-19,15,Bordeaux,August,2025-08,3
2025-12-21,telephone,Senior,Vente,Réclamation,2025-12-14,1,Lyon,December,2025-12,3
2024-10-01,telephone,Junior,Comptabilité,Réclamation,2024-09-01,2,Marseille,October,2024-10,2
2024-01-01,web,Client,Support,Demande,2023-12-27,2,Marseille,January,2024-01,2
2025-03-17,telephone,Manager,Comptabilité,Réclamation,2025-02-22,4,Paris,March,2025-03,3
2024-07-21,telephone,Client,Comptabilité,Demande,2024-07-10,19,Paris,July,2024-07,2
2024-04-12,telephone,Senior,Support,Demande,2024-03-14,6,Paris,April,2024-04,2
2024-09-07,telephone,Manager,Comptabilité,Réclamation,2024-08-09,10,Bordeaux,September,2024-09,2
2024-07-04,telephone,Manager,Support,Question,2024-06-21,10,Paris,July,2024-07,1
2024-06-06,web,Junior,Vente,Question,2024-05-13,9,Lyon,June,2024-06,1
2025-06-02,web,Senior,Support,Question,2025-05-07,2,Bordeaux,June,2025-06,3
2025-03-15,web,Manager,Support,Demande,2025-02-26,15,Marseille,March,2025-03,3
2024-05-13,web,Manager,Vente,Question,2024-05-06,5,Lyon,May,2024-05,1
2024-11-26,web,Senior,Comptabilité,Question,2024-11-11,1,Paris,November,2024-11,1
2024-06-12,telephone,Junior,Vente,Demande,2024-06-08,7,Paris,June,2024-06,3
2025-06-24,web,Senior,Comptabilité,Question,2025-06-20,15,Lyon,June,2025-06,1
2024-03-20,telephone,Junior,Support,Réclamation,2024-02-19,10,Marseille,March,2024-03,2
2025-08-12,telephone,Manager,Support,Réclamation,2025-08-03,10,Paris,August,2025-08,2
2024-07-03,web,Client,Comptabilité,Question,2024-06-15,11,Paris,July,2024-07,3
2024-01-25,telephone,Manager,Comptabilité,Réclamation,2024-01-15,3,Paris,January,2024-01,3
2024-02-21,web,Junior,Comptabilité,Question,2024-02-03,18,Marseille,February,2024-02,2
2025-05-24,web,Junior,Support,Réclamation,2025-05-24,10,Bordeaux,May,2025-05,1
2025-10-07,web,Manager,Vente,Demande,2025-09-20,14,Bordeaux,October,2025-10,3
2025-02-14,web,Junior,Comptabilité,Question,2025-02-02,5,Marseille,February,2025-02,2
2024-12-06,telephone,Manager,Comptabilité,Demande,2024-11-23,13,Marseille,December,2024-12,3
2024-06-22,telephone,Senior,Support,Question,2024-06-15,11,Paris,June,2024-06,1
2024-02-05,telephone,Manager,Comptabilité,Demande,2024-01-31,18,Lyon,February,2024-02,1
2025-06-21,web,Client,Comptabilité,Réclamation,2025-06-16,9,Lyon,June,2025-06,2
2024-03-30,web,Senior,Vente,Question,2024-02-29,20,Marseille,March,2024-03,1
2025-08-31,telephone,Junior,Comptabilité,Question,2025-08-28,2,Marseille,August,2025-08,3
2024-06-11,web,Manager,Vente,Réclamation,2024-06-09,5,Lyon,June,2024-06,2
2024-04-02,telephone,Client,Comptabilité,Question,2024-03-11,20,Marseille,April,2024-04,3
2024-10-24,web,Manager,Vente,Réclamation,2024-10-20,15,Paris,October,2024-10,1
2024-07-21,telephone,Junior,Support,Question,2024-07-09,20,Bordeaux,July,2024-07,1
2024-08-02,web,Client,Vente,Question,2024-07-16,8,Paris,August,2024-08,2
2024-06-19,telephone,Manager,Comptabilité,Demande,2024-06-09,13,Bordeaux,June,2024-06,2
2024-06-07,web,Client,Vente,Question,2024-06-02,18,Marseille,June,2024-06,3
2025-03-09,telephone,Manager,Comptabilité,Demande,2025-02-07,5,Marseille,March,2025-03,3
2024-10-16,telephone,Senior,Vente,Réclamation,2024-10-09,6,Paris,October,2024-10,3
2025-08-12,telephone,Senior,Support,Réclamation,2025-07-22,18,Lyon,August,2025-08,1
2025-07-26,web,Client,Support,Demande,2025-07-23,9,Lyon,July,2025-07,2
2024-10-17,telephone,Junior,Vente,Réclamation,2024-10-14,6,Marseille,October,2024-10,2
2024-01-23,web,Junior,Support,Question,2024-01-10,17,Marseille,January,2024-01,2
2024-02-04,telephone,Manager,Support,Demande,2024-01-21,16,Marseille,February,2024-02,1
2025-07-15,web,Client,Comptabilité,Question,2025-06-29,15,Paris,July,2025-07,3
2025-10-14,telephone,Junior,Vente,Demande,2025-10-12,11,Bordeaux,October,2025-10,3
2024-10-22,web,Client,Comptabilité,Demande,2024-10-09,13,Paris,October,2024-10,3
2024-11-15,telephone,Senior,Vente,Réclamation,2024-11-04,17,Paris,November,2024-11,3
2025-12-08,web,Client,Comptabilité,Question,2025-11-19,11,Bordeaux,December,2025-12,1
2025-06-10,web,Junior,Support,Question,2025-05-24,1,Paris,June,2025-06,2
2025-10-08,web,Manager,Vente,Réclamation,2025-09-23,10,Marseille,October,2025-10,3
2025-10-18,web,Client,Support,Demande,2025-09-20,14,Lyon,October,2025-10,3
2024-10-07,telephone,Client,Vente,Question,2024-09-10,18,Marseille,October,2024-10,2
2025-08-21,telephone,Senior,Comptabilité,Demande,2025-08-13,3,Paris,August,2025-08,3
2024-03-24,telephone,Client,Comptabilité,Demande,2024-03-16,9,Bordeaux,March,2024-03,2
2025-11-08,web,Manager,Comptabilité,Question,2025-10-13,15,Lyon,November,2025-11,1
2025-09-05,telephone,Junior,Vente,Question,2025-08-11,6,Bordeaux,September,2025-09,3
2024-07-20,web,Junior,Support,Demande,2024-07-18,1,Paris,July,2024-07,3
2025-12-04,web,Client,Comptabilité,Demande,2025-11-12,2,Lyon,December,2025-12,2
2024-09-20,telephone,Manager,Support,Réclamation,2024-09-05,7,Paris,September,2024-09,3
2024-09-18,telephone,Client,Comptabilité,Demande,2024-08-22,16,Paris,September,2024-09,3
2024-07-08,telephone,Client,Comptabilité,Question,2024-06-29,16,Bordeaux,July,2024-07,1
2024-02-26,telephone,Client,Support,Question,2024-02-13,13,Lyon,February,2024-02,3
2025-01-19,web,Manager,Vente,Demande,2025-01-12,9,Lyon,January,2025-01,1
2024-09-29,telephone,Senior,Support,Question,2024-08-30,5,Marseille,September,2024-09,3
2025-10-25,telephone,Junior,Vente,Demande,2025-10-18,4,Lyon,October,2025-10,1
2024-07-30,web,Client,Comptabilité,Demande,2024-07-06,11,Bordeaux,July,2024-07,1
2024-07-26,web,Manager,Support,Question,2024-06-30,11,Marseille,July,2024-07,3
2025-11-03,web,Client,Vente,Demande,2025-10-17,19,Paris,November,2025-11,3
2025-05-22,web,Senior,Support,Question,2025-05-18,17,Marseille,May,2025-05,2
2025-03-14,web,Junior,Comptabilité,Demande,2025-03-14,2,Marseille,March,2025-03,3
2025-12-18,web,Client,Support,Réclamation,2025-11-27,17,Lyon,December,2025-12,3
2024-12-26,web,Senior,Support,Question,2024-12-13,4,Marseille,December,2024-12,3
2025-05-28,web,Manager,Vente,Question,2025-05-02,4,Paris,May,2025-05,1
2024-08-28,web,Manager,Support,Demande,2024-08-13,5,Lyon,August,2024-08,3
2024-05-26,telephone,Junior,Comptabilité,Demande,2024-05-26,2,Lyon,May,2024-05,3
2024-11-03,web,Client,Comptabilité,Question,2024-10-13,14,Lyon,November,2024-11,3
2024-06-06,telephone,Senior,Support,Réclamation,2024-05-25,13,Marseille,June,2024-06,2
2024-12-23,web,Manager,Vente,Demande,2024-12-12,9,Paris,December,2024-12,2
2025-10-09,telephone,Manager,Support,Réclamation,2025-10-04,4,Bordeaux,October,2025-10,3
2025-05-19,telephone,Junior,Comptabilité,Demande,2025-05-15,20,Marseille,May,2025-05,1
2024-12-25,telephone,Manager,Support,Réclamation,2024-12-09,12,Marseille,December,2024-12,1
2024-10-06,telephone,Client,Vente,Réclamation,2024-09-06,20,Lyon,October,2024-10,3
2024-08-11,web,Client,Comptabilité,Demande,2024-07-19,19,Bordeaux,August,2024-08,3
2025-07-15,web,Manager,Comptabilité,Réclamation,2025-07-09,11,Marseille,July,2025-07,3
2024-05-05,telephone,Junior,Vente,Demande,2024-04-19,19,Marseille,May,2024-05,2
2024-11-10,telephone,Client,Vente,Question,2024-10-20,19,Paris,November,2024-11,2
2024-02-21,telephone,Manager,Comptabilité,Réclamation,2024-02-19,9,Lyon,February,2024-02,2
2024-03-04,web,Client,Vente,Question,2024-02-16,9,Paris,March,2024-03,2
2024-11-08,web,Client,Support,Demande,2024-10-12,14,Bordeaux,November,2024-11,2
2024-04-14,web,Junior,Comptabilité,Question,2024-03-25,11,Bordeaux,April,2024-04,3
2025-07-01,web,Senior,Vente,Réclamation,2025-06-10,12,Lyon,July,2025-07,3
2025-07-23,telephone,Client,Support,Question,2025-07-15,8,Bordeaux,July,2025-07,1
2025-08-23,telephone,Manager,Vente,Demande,2025-08-11,18,Marseille,August,2025-08,2
2025-12-10,telephone,Client,Comptabilité,Demande,2025-11-24,8,Lyon,December,2025-12,3
2025-04-15,telephone,Client,Support,Réclamation,2025-04-08,8,Marseille,April,2025-04,3
2024-06-04,web,Client,Comptabilité,Question,2024-05-10,8,Marseille,June,2024-06,3
2024-10-02,telephone,Client,Comptabilité,Demande,2024-09-06,20,Lyon,October,2024-10,1
2025-08-14,telephone,Senior,Comptabilité,Demande,2025-07-29,8,Paris,August,2025-08,2
2025-04-25,telephone,Manager,Support,Réclamation,2025-04-13,3,Lyon,April,2025-04,2
2024-12-21,web,Junior,Comptabilité,Demande,2024-11-22,18,Marseille,December,2024-12,3
2025-09-24,telephone,Client,Vente,Question,2025-09-17,8,Marseille,September,2025-09,3
2024-09-12,web,Client,Vente,Réclamation,2024-09-12,17,Paris,September,2024-09,2
2024-02-21,web,Manager,Comptabilité,Question,2024-01-23,16,Paris,February,2024-02,2
2025-11-24,telephone,Manager,Vente,Réclamation,2025-10-30,3,Paris,November,2025-11,2
2025-04-03,web,Senior,Support,Réclamation,2025-03-28,2,Paris,April,2025-04,1
2025-12-06,telephone,Client,Support,Réclamation,2025-11-19,4,Marseille,December,2025-12,2
2024-03-09,telephone,Senior,Support,Demande,2024-03-03,19,Bordeaux,March,2024-03,1
2025-01-31,telephone,Senior,Support,Demande,2025-01-17,19,Marseille,January,2025-01,2
2024-03-21,web,Client,Vente,Demande,2024-03-12,15,Bordeaux,March,2024-03,3
2024-05-12,web,Client,Comptabilité,Réclamation,2024-04-28,1,Bordeaux,May,2024-05,1
2025-12-02,telephone,Senior,Support,Question,2025-11-30,7,Marseille,December,2025-12,2
2025-09-21,telephone,Manager,Support,Réclamation,2025-08-25,8,Bordeaux,September,2025-09,3
2024-10-04,telephone,Senior,Support,Question,2024-09-06,5,Lyon,October,2024-10,1
2025-09-22,web,Manager,Support,Question,2025-09-12,11,Bordeaux,September,2025-09,1
2024-09-30,web,Senior,Vente,Demande,2024-09-13,1,Lyon,September,2024-09,1
2024-04-10,web,Junior,Support,Réclamation,2024-03-31,9,Bordeaux,April,2024-04,3
2025-08-29,telephone,Client,Support,Demande,2025-08-23,20,Bordeaux,August,2025-08,1
2025-03-12,telephone,Manager,Comptabilité,Question,2025-02-13,12,Marseille,March,2025-03,3
2024-03-16,telephone,Manager,Vente,Demande,2024-03-09,20,Marseille,March,2024-03,1
2024-10-28,telephone,Manager,Vente,Question,2024-10-08,6,Bordeaux,October,2024-10,3
2024-10-05,telephone,Junior,Comptabilité,Demande,2024-09-06,6,Bordeaux,October,2024-10,3
2025-05-10,telephone,Manager,Comptabilité,Réclamation,2025-04-25,9,Lyon,May,2025-05,2
2024-11-25,web,Manager,Support,Question,2024-10-31,6,Bordeaux,November,2024-11,1
2025-11-30,web,Client,Vente,Réclamation,2025-11-29,20,Lyon,November,2025-11,3
2025-06-29,telephone,Client,Comptabilité,Demande,2025-06-14,20,Lyon,June,2025-06,1
2025-08-17,telephone,Senior,Vente,Question,2025-07-26,5,Bordeaux,August,2025-08,2
2024-07-09,web,Senior,Comptabilité,Question,2024-06-25,17,Marseille,July,2024-07,3
2024-10-06,telephone,Client,Vente,Demande,2024-09-11,17,Paris,October,2024-10,2
2025-12-28,telephone,Senior,Comptabilité,Demande,2025-12-16,12,Bordeaux,December,2025-12,3
2024-07-10,web,Senior,Support,Demande,2024-06-21,5,Marseille,July,2024-07,2
2024-03-21,telephone,Manager,Support,Question,2024-03-11,3,Paris,March,2024-03,1
2024-10-14,web,Junior,Support,Demande,2024-09-24,4,Paris,October,2024-10,1
2025-01-01,telephone,Junior,Support,Question,2025-01-01,9,Lyon,January,2025-01,1
2024-07-07,telephone,Senior,Comptabilité,Question,2024-06-19,6,Bordeaux,July,2024-07,3
2025-06-16,web,Junior,Comptabilité,Réclamation,2025-05-20,18,Paris,June,2025-06,1
2024-06-25,web,Client,Vente,Demande,2024-06-21,17,Paris,June,2024-06,1
2024-05-21,web,Manager,Comptabilité,Question,2024-04-27,5,Bordeaux,May,2024-05,3
2024-11-22,telephone,Client,Vente,Question,2024-10-30,14,Paris,November,2024-11,2
2025-04-21,telephone,Junior,Vente,Question,2025-04-19,20,Paris,April,2025-04,1
2024-03-01,web,Client,Support,Demande,2024-02-03,6,Bordeaux,March,2024-03,3
2024-10-11,web,Senior,Comptabilité,Question,2024-09-24,9,Bordeaux,October,2024-10,2
2025-11-04,telephone,Senior,Vente,Demande,2025-10-30,6,Bordeaux,November,2025-11,1
2025-01-18,telephone,Manager,Vente,Demande,2025-01-04,1,Marseille,January,2025-01,3
2024-02-01,telephone,Manager,Support,Demande,2024-01-17,10,Lyon,February,2024-02,3
2025-05-19,telephone,Senior,Support,Demande,2025-05-08,5,Marseille,May,2025-05,2
2024-01-12,web,Junior,Support,Réclamation,2024-01-11,10,Bordeaux,January,2024-01,3
2024-08-02,telephone,Manager,Vente,Demande,2024-07-11,4,Marseille,August,2024-08,3
2024-12-16,telephone,Senior,Comptabilité,Réclamation,2024-11-27,19,Marseille,December,2024-12,2
2024-05-22,web,Senior,Vente,Demande,2024-05-06,2,Lyon,May,2024-05,3
